id,name,parent_id,level,description,image,meta_data,slug
11912,Video Games,119,2,0,0,0,0
1191210,Playstation,11912,3,0,0,0,0
1191211,Xbox,11912,3,0,0,0,0
1191212,Wii,11912,3,0,0,0,0
1191213,Nintendo DS,11912,3,0,0,0,0
1191214,Gameboy,11912,3,0,0,0,0
1191215,Switch,11912,3,0,0,0,0
1191216,PS Vita,11912,3,0,0,0,0
1191217,PSP,11912,3,0,0,0,0
1191218,PC Game,11912,3,0,0,0,0
120,Cameras & Drones,0,1,0,0,0,0
12010,Lenses,120,2,0,0,0,0
12011,Lens Accessories,120,2,0,0,0,0
1201110,Lens Mount & Adapters,12011,3,0,0,0,0
1201111,Lens Caps,12011,3,0,0,0,0
1201112,Filters,12011,3,0,0,0,0
1201113,Lens Hoods,12011,3,0,0,0,0
1201114,Others,12011,3,0,0,0,0
12012,Camera Accessories,120,2,0,0,0,0
1201210,Flash Accessories,12012,3,0,0,0,0
120121010,Flash Triggers,1201210,4,0,0,0,0
120121011,Flash Diffusers,1201210,4,0,0,0,0
1201211,Gimbals & Stabilizers,12012,3,0,0,0,0
1201212,Lighting & Studio Equipments,12012,3,0,0,0,0
1201213,Camera Cases & Bags,12012,3,0,0,0,0
1201214,Batteries & Battery Grips,12012,3,0,0,0,0
1201215,"Tripods, Monopods, & Accessories",12012,3,0,0,0,0
12013,Camera Care,120,2,0,0,0,0
1201310,Dry Boxes & Cabinets,12013,3,0,0,0,0
1201311,Silica Gel,12013,3,0,0,0,0
1201312,Blowers,12013,3,0,0,0,0
1201313,Lenspens & Brushes,12013,3,0,0,0,0
121,Home & Living,0,1,0,0,0,0
12110,Home Fragrance & Aromatherapy,121,2,0,0,0,0
1211010,Air Fresheners,12110,3,0,0,0,0
1211011,Home Fragrance,12110,3,0,0,0,0
1211012,Essential Oils,12110,3,0,0,0,0
1211013,Diffusers,12110,3,0,0,0,0
1211014,Humidifiers,12110,3,0,0,0,0
1211015,Oil Burners,12110,3,0,0,0,0
1211016,Incense Sticks,12110,3,0,0,0,0
1211017,Dhoops,12110,3,0,0,0,0
12111,Bathrooms,121,2,0,0,0,0
1211110,"Toilet Bowls, Seats & Covers",12111,3,0,0,0,0
1211111,Toothbrush Holders & Toothpaste Dispensers,12111,3,0,0,0,0
1211112,"Soap Dispensers, Holders & Boxes",12111,3,0,0,0,0
1211113,Bathroom Racks & Cabinets,12111,3,0,0,0,0
1211114,Bathtubs,12111,3,0,0,0,0
1211115,Towels & Bathrobes,12111,3,0,0,0,0
1211116,Toilet Paper,12111,3,0,0,0,0
121111510,Bath Towels,1211115,4,0,0,0,0
121111511,Face & Hand Towels,1211115,4,0,0,0,0
121111512,Bath Robes,1211115,4,0,0,0,0
121111513,Others,1211115,4,0,0,0,0
1211124,Showerheads & Bidet Sprays,12111,3,0,0,0,0
1211117,Bath Brushes & Loofahs,12111,3,0,0,0,0
1211118,Shower Curtains,12111,3,0,0,0,0
1211119,Shower Seats & Commodes,12111,3,0,0,0,0
1211120,Safety Handles,12111,3,0,0,0,0
1211121,Shower Caps,12111,3,0,0,0,0
1211122,Others,12111,3,0,0,0,0
1211123,Fragrances,12111,3,0,0,0,0
1211125,Others,12111,3,0,0,0,0
12112,Bedding,121,2,0,0,0,0
1211210,Cooling Mats,12112,3,0,0,0,0
1211211,Mattress Protectors & Toppers,12112,3,0,0,0,0
1211212,"Blankets, Comforters & Quilts",12112,3,0,0,0,0
1211213,Pillows,12112,3,0,0,0,0
1211214,Bedsheets,12112,3,0,0,0,0
1211215,Pillowcases,12112,3,0,0,0,0
1211216,Bolster Cases,12112,3,0,0,0,0
1211217,Matresses,12112,3,0,0,0,0
1211218,Mosquito Nets,12112,3,0,0,0,0
1211219,Bolsters,12112,3,0,0,0,0
